#disease	pathway	Pvalue	adjPvalue
C0000744	GO_LIPID_TRANSPORTER_ACTIVITY	1.94334236608728e-24	8.12670784236029e-22
C0000744	GO_STEROL_TRANSPORTER_ACTIVITY	1.2919223011414e-23	5.1191478173749e-21
C0000744	GO_CHOLESTEROL_TRANSPORTER_ACTIVITY	4.91745467828833e-23	1.8794825545403e-20
C0000744	GO_LIPID_BINDING	9.02568238593971e-22	3.16678763718899e-19
C0000744	GO_STEROL_BINDING	3.10511233553739e-17	7.92474484861147e-15
C0000744	GO_ALCOHOL_BINDING	1.09577804373078e-13	2.10367101900864e-11
C0000744	GO_STEROID_BINDING	1.76838947750636e-13	3.31758612914485e-11
C0000744	GO_TRANSPORTER_ACTIVITY	9.60032541456906e-13	1.67717544996827e-10
C0000744	GO_PHOSPHOLIPID_BINDING	1.09988856799727e-12	1.90940611437361e-10
C0000744	GO_PROTEIN_LIPID_COMPLEX_BINDING	4.96932478883224e-12	8.13873872792587e-10
C0000809	GO_DNA_DEPENDENT_ATPASE_ACTIVITY	1.50217477200576e-16	3.65625593014548e-14
C0000809	GO_DNA_HELICASE_ACTIVITY	6.95146544853715e-13	1.23737936998529e-10
C0000809	GO_DEOXYRIBONUCLEASE_ACTIVITY	4.60785215820692e-12	7.58533902286821e-10
C0000809	GO_HELICASE_ACTIVITY	1.09764060553296e-11	1.72766930621869e-09
C0000809	GO_ATP_DEPENDENT_DNA_HELICASE_ACTIVITY	3.04983203493342e-11	4.57844585678591e-09
C0000809	GO_DNA_SECONDARY_STRUCTURE_BINDING	3.36898768385845e-10	4.49434539156057e-08
C0000809	GO_ENDODEOXYRIBONUCLEASE_ACTIVITY	4.49818215151444e-10	5.92524600151354e-08
C0000809	GO_ATPASE_ACTIVITY_COUPLED	5.87746832618099e-10	7.58622045437614e-08
C0000809	GO_ATPASE_ACTIVITY	4.34892162589525e-09	5.04280990998476e-07
C0000809	GO_SINGLE_STRANDED_DNA_BINDING	6.63351140640258e-09	7.49992411232471e-07
