#disease	pathway	Pvalue	adjPvalue
C0000744	GO_STEROL_TRANSPORT	2.13198740870459e-17	3.27950585747953e-13
C0000744	GO_STEROL_HOMEOSTASIS	5.56661984655585e-17	7.92165015517675e-13
C0000744	GO_REGULATION_OF_STEROL_TRANSPORT	3.75687466982006e-15	3.23412947721192e-11
C0000744	GO_REGULATION_OF_LIPID_TRANSPORT	5.85328676662274e-15	4.76997305636129e-11
C0000744	GO_LIPID_HOMEOSTASIS	8.4645027057129e-15	6.40940390130627e-11
C0000744	GO_LIPID_LOCALIZATION	1.04820745400693e-14	7.73837501665885e-11
C0000744	GO_CHOLESTEROL_EFFLUX	3.51018822840652e-14	2.22050768666978e-10
C0000744	GO_ORGANIC_HYDROXY_COMPOUND_TRANSPORT	5.73290997539751e-14	3.38614169329175e-10
C0000744	GO_PHOSPHOLIPID_TRANSPORT	3.80256743001712e-13	1.77958241436409e-09
C0000744	GO_ORGANOPHOSPHATE_ESTER_TRANSPORT	1.67187465579749e-12	6.51133358659875e-09
C0000809	GO_MEIOTIC_CELL_CYCLE_PROCESS	1.06941087464172e-08	1.30651410638494e-05
C0000809	GO_MEIOTIC_CELL_CYCLE	3.23680910446102e-08	3.35573785578353e-05
C0000809	GO_SYNAPTONEMAL_COMPLEX_ORGANIZATION	1.09025991846505e-07	9.2472919024186e-05
C0000809	GO_NUCLEAR_CHROMOSOME_SEGREGATION	1.71102723954143e-07	0.000136776757240116
C0000809	GO_REPRODUCTION	1.81264332089838e-07	0.000142528525948902
C0000809	GO_CHROMOSOME_SEGREGATION	3.0048112612169e-07	0.000213632925983406
C0000809	GO_SYNAPSIS	5.12219876080374e-07	0.000331478193850183
C0000809	GO_HOMOLOGOUS_CHROMOSOME_SEGREGATION	1.12708440343645e-06	0.000622004264268805
C0000809	GO_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE	1.73100370054842e-06	0.000889111530679241
C0000809	GO_MEIOTIC_CHROMOSOME_SEGREGATION	3.51175588823988e-06	0.00152332673161096
C0001197	GO_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS	1.16079784816784e-07	9.76381683971586e-05
C0001197	GO_POSITIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY	2.56615416791662e-07	0.000190556202871778
C0001197	GO_SIGNAL_TRANSDUCTION_BY_PROTEIN_PHOSPHORYLATION	2.58603243732732e-07	0.000190635858998337
C0001197	GO_POSITIVE_REGULATION_OF_PROTEIN_SECRETION	8.50264028517665e-07	0.000502247704575407
C0001197	GO_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION	1.4519191188761e-06	0.000767139993294167
C0001197	GO_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY	2.16409710227836e-06	0.00105201774460583
C0001197	GO_REGULATION_OF_INNATE_IMMUNE_RESPONSE	2.91413709032543e-06	0.00132967734698112
C0001197	GO_REGULATION_OF_CELLULAR_AMINO_ACID_METABOLIC_PROCESS	2.98755501345935e-06	0.00134548257858153
