#disease	pathway	Pvalue	adjPvalue
C0000744	GO_PROTEIN_LIPID_COMPLEX	8.88994931819052e-16	4.04109631120869e-12
C0000744	GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE	1.5158771624814e-11	2.47823754118888e-08
C0000744	GO_CHYLOMICRON	2.61214080149764e-07	0.000129476964976362
C0000744	GO_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE	5.12219876080374e-07	0.000230357833994819
C0000744	GO_EXTRACELLULAR_SPACE	2.14185437087769e-05	0.00566420061887258
C0000744	GO_EARLY_ENDOSOME	3.34884409861308e-05	0.00831718250934613
C0000744	GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE	6.67022065206003e-05	0.0146511639009224
C0000744	GO_BLOOD_MICROPARTICLE	0.000308229639118446	0.0493202706800903
C0000744	GO_ATPASE_COMPLEX	0.000403477023345795	0.0617426132858299
C0000744	GO_ENDOPLASMIC_RETICULUM_LUMEN	0.000832991351328481	0.113547174828983
C0000809	GO_SYNAPTONEMAL_COMPLEX	1.5158771624814e-11	2.47823754118888e-08
C0000809	GO_COHESIN_COMPLEX	1.2467437641587e-10	1.57920226068735e-07
C0000809	GO_CONDENSED_NUCLEAR_CHROMOSOME	1.7159998337761e-09	1.57869161178263e-06
C0000809	GO_CONDENSED_CHROMOSOME	3.76148303926468e-08	2.42714413954261e-05
C0000809	GO_LATERAL_ELEMENT	6.2353998645038e-08	3.73669536145913e-05
C0000809	GO_CHROMOSOME_CENTROMERIC_REGION	2.45091080976015e-06	0.000875205653490722
C0000809	GO_NUCLEAR_CHROMOSOME	1.10524273720376e-05	0.00321688349414557
C0000809	GO_CHROMOSOMAL_REGION	3.78463675798003e-05	0.00914956698355548
C0000809	GO_CHROMOSOME	0.000107723041939536	0.0215396002536374
C0000809	GO_BASEMENT_MEMBRANE	0.00429782930818699	0.394711288238093
C0001197	GO_PROTEASOME_COMPLEX	0.000248613438552211	0.0423769286037362
C0001197	GO_EXTRACELLULAR_SPACE	0.00292814876583375	0.292843440357954
C0001197	GO_SECRETORY_GRANULE_LUMEN	0.00443487647219956	0.398814335848205
C0001197	GO_VESICLE_LUMEN	0.00689948801889476	0.558977249212018
C0001197	GO_INTERSTITIAL_MATRIX	0.00813136072509864	0.626356190482489
C0001197	GO_PHAGOCYTIC_CUP	0.012981565594231	0.824356507004338
C0001197	GO_MEMBRANE_REGION	0.0135263818182994	0.854272066220217
C0001197	GO_COP9_SIGNALOSOME	0.0194152993525581	1
C0001197	GO_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	0.0209399043718779	1
C0001197	GO_GLYCOPROTEIN_COMPLEX	0.0226179907948896	1
C0001206	GO_NUCLEAR_MATRIX	0.00270323088245362	0.279972298045285
C0001206	GO_ENDOPLASMIC_RETICULUM	0.00373452527213177	0.35467034435619
C0001206	GO_NUCLEAR_PERIPHERY	0.00377002168424476	0.35467034435619
C0001206	GO_NUCLEAR_OUTER_MEMBRANE	0.0242158034631994	1
C0001206	GO_TRANSCRIPTION_FACTOR_COMPLEX	0.0271654852588596	1
C0001206	GO_TRANSCRIPTION_FACTOR_TFIID_COMPLEX	0.0289951462011303	1
C0001206	GO_SNARE_COMPLEX	0.0369139173489407	1
C0001206	GO_CELL_SUBSTRATE_JUNCTION	0.0412096083356095	1
C0001206	GO_NUCLEAR_INNER_MEMBRANE	0.04163723456188	1
C0001206	GO_MICROBODY_LUMEN	0.0510213751635082	1
C0001231	GO_CELL_CELL_JUNCTION	0.00322277801368151	0.317071906213198
C0001231	GO_APICAL_JUNCTION_COMPLEX	0.00377002168424476	0.35467034435619
C0001231	GO_NEURON_PROJECTION	0.00796297805997009	0.620156742402128
