#disease	pathway	Pvalue	adjPvalue
C0000744	GO_CHOLESTEROL_TRANSPORTER_ACTIVITY	4.00282837656309e-26	4.21419712249835e-23
C0000744	GO_STEROL_TRANSPORTER_ACTIVITY	4.51069249238897e-24	4.01828216816342e-21
C0000744	GO_LIPID_TRANSPORTER_ACTIVITY	7.51923143059683e-24	6.62366503882851e-21
C0000744	GO_LIPID_BINDING	3.97144436371282e-19	2.39628593422985e-16
C0000744	GO_STEROL_BINDING	1.29432022132333e-14	5.17587453367163e-12
C0000744	GO_TRANSPORTER_ACTIVITY	1.40819915718364e-13	5.04739953682058e-11
C0000744	GO_ALCOHOL_BINDING	1.84617384681501e-12	5.87908392698453e-10
C0000744	GO_PROTEIN_LIPID_COMPLEX_BINDING	4.5186281134904e-12	1.37311911441115e-09
C0000744	GO_PHOSPHOLIPID_BINDING	6.53588744537803e-12	1.93781756037116e-09
C0000744	GO_STEROID_BINDING	9.48319568677132e-12	2.77028920490535e-09
C0000809	GO_DNA_DEPENDENT_ATPASE_ACTIVITY	3.92308165270716e-10	9.30678727921321e-08
C0000809	GO_3_5_DNA_HELICASE_ACTIVITY	2.21566127554456e-08	4.05380719391666e-06
C0000809	GO_DNA_DIRECTED_DNA_POLYMERASE_ACTIVITY	3.20649307251704e-08	5.73703666502768e-06
C0000809	GO_ANNEALING_ACTIVITY	6.60436017162338e-08	1.12344486645239e-05
C0000809	GO_ATP_DEPENDENT_DNA_HELICASE_ACTIVITY	9.67009522630579e-08	1.59451287900162e-05
C0000809	GO_DNA_POLYMERASE_ACTIVITY	1.41319092408531e-07	2.25592126775819e-05
C0000809	GO_HELICASE_ACTIVITY	4.40333572016203e-07	6.44492376702501e-05
C0000809	GO_ATPASE_ACTIVITY_COUPLED	5.53316874745715e-07	7.97860244038577e-05
C0000809	GO_SINGLE_STRANDED_DNA_BINDING	6.35581431786595e-07	9.00559789099987e-05
C0000809	GO_DNA_HELICASE_ACTIVITY	7.55308795249175e-07	0.000105565054056932
C0001197	GO_THREONINE_TYPE_PEPTIDASE_ACTIVITY	3.11173764617686e-34	6.01612308717631e-31
C0001197	GO_ENDOPEPTIDASE_ACTIVITY	2.90397381062337e-14	1.11346964301965e-11
C0001197	GO_PEPTIDASE_ACTIVITY	4.49344393879092e-13	1.51581459996194e-10
C0001197	GO_PEPTIDASE_ACTIVATOR_ACTIVITY	6.20180417179274e-09	1.23689181140505e-06
C0001197	GO_MHC_CLASS_II_RECEPTOR_ACTIVITY	1.2582012881454e-05	0.00136990692913454
C0001197	GO_PEPTIDASE_REGULATOR_ACTIVITY	5.21020607048707e-05	0.00476483013993844
C0001197	GO_PEPTIDE_ANTIGEN_BINDING	0.000237088118878876	0.0179151946483894
C0001197	GO_NADP_BINDING	0.000388842772007021	0.0276857208847376
C0001197	GO_FMN_BINDING	0.000658631269201397	0.0431322784967686
C0001197	GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING	0.0016418137771542	0.0883832992370484
