#disease	pathway	Pvalue	adjPvalue
C0000744	KEGG_ABC_TRANSPORTERS	2.51161407544914e-15	7.51196747596886e-13
C0000744	KEGG_PPAR_SIGNALING_PATHWAY	1.39241494309604e-07	1.14420517395459e-05
C0000744	KEGG_GLYCEROLIPID_METABOLISM	0.0106924044228969	0.204396799770047
C0000744	KEGG_TYPE_I_DIABETES_MELLITUS	0.0150318265869311	0.270867457348182
C0000744	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.0335151219901704	0.491737040142832
C0000744	KEGG_PEROXISOME	0.0344516903719179	0.502947415208645
C0000744	KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.0427997779254481	0.57837520301048
C0000744	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.0878071860166474	0.952361969931589
C0000744	KEGG_REGULATION_OF_AUTOPHAGY	0.107573117096295	1
C0000744	KEGG_ALZHEIMERS_DISEASE	0.122934444668669	1
C0000809	KEGG_CELL_CYCLE	5.61905978718117e-07	4.10813413284702e-05
C0000809	KEGG_HOMOLOGOUS_RECOMBINATION	3.19472882897809e-06	0.000197034193121021
C0000809	KEGG_OOCYTE_MEIOSIS	5.01512678801159e-05	0.00226849720887394
C0000809	KEGG_NON_HOMOLOGOUS_END_JOINING	0.00100064159031487	0.0295912323769955
C0000809	KEGG_DNA_REPLICATION	0.0085119795868744	0.171270246917652
C0000809	KEGG_MISMATCH_REPAIR	0.0957645154388609	1
C0000809	KEGG_ABC_TRANSPORTERS	0.119230552436474	1
C0000809	KEGG_BASE_EXCISION_REPAIR	0.126919132036242	1
C0000809	KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.175315789817286	1
C0000809	KEGG_VIBRIO_CHOLERAE_INFECTION	0.186105240612878	1
C0001197	KEGG_PROTEASOME	3.59187698912683e-58	2.52563886924862e-54
C0001197	KEGG_ALLOGRAFT_REJECTION	1.06147919362014e-08	1.08634398021042e-06
C0001197	KEGG_TYPE_I_DIABETES_MELLITUS	2.72904179601522e-08	2.59246680896801e-06
C0001197	KEGG_ASTHMA	1.41319092408531e-07	1.15020783228412e-05
C0001197	KEGG_LEISHMANIA_INFECTION	6.35581431786595e-07	4.51023223686805e-05
C0001197	KEGG_GRAFT_VERSUS_HOST_DISEASE	6.63064342413623e-07	4.61306000008274e-05
C0001197	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	8.11064860401938e-07	5.55754939254835e-05
C0001197	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	3.08033303999938e-06	0.000190256987738219
C0001197	KEGG_VIRAL_MYOCARDITIS	1.09169207215086e-05	0.00058558000240801
C0001197	KEGG_TYPE_II_DIABETES_MELLITUS	4.18743545052014e-05	0.00193686037925981
C0001206	KEGG_PROSTATE_CANCER	2.09121924082932e-06	0.000132542939115468
C0001206	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	9.42091339371611e-06	0.000518222980017036
C0001206	KEGG_PRION_DISEASES	1.35022418372513e-05	0.000712479685222633
C0001206	KEGG_JAK_STAT_SIGNALING_PATHWAY	2.81126345644136e-05	0.0013582237326878
